Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.58958435058594,171.79367814662248,169.55158119602822,171.37847688479937,121465900
2015-01-05,167.5087890625,169.70935056327772,167.20154419999722,169.5432726016799,169632600
2015-01-06,165.93106079101562,168.3392233667999,165.13386868532214,167.81606565147172,209151400
2015-01-07,167.99871826171875,168.33918630851923,166.81124883581793,167.25966058528658,125346700
2015-01-08,170.97987365722656,171.19578642164635,169.39381447525952,169.41041340257112,147217800
2015-01-09,169.6097412109375,171.41171344037704,168.99523868858634,171.39510183951919,158567300
2015-01-12,168.28111267089844,169.90040817449798,167.67492220963433,169.74262962422395,144396100
2015-01-13,167.80780029296875,170.63116476055004,166.50406180754823,169.50181643932927,214553300
2015-01-14,166.7946319580078,166.9939331019815,164.8930159758004,165.78983944634336,192991100
2015-01-15,165.26670837402344,167.74960372874938,165.1504525313701,167.4340593963683,176613900
2015-01-16,167.43409729003906,167.5918758274063,164.8764555018834,165.0591451061045,211879600
2015-01-20,167.79116821289062,168.33923703813153,166.2217076103842,168.07350209100636,130991100
2015-01-21,168.6381378173828,169.1197727781758,166.8610770100815,167.32610037334743,122942700
2015-01-22,171.14596557617188,171.2788203503415,168.01534450713342,169.3938157405064,174356000
2015-01-23,170.2076416015625,171.14600070268122,170.07477412918576,170.88856522334896,117516800
2015-01-26,170.60621643066406,170.6975612260688,169.2775798358859,169.99172659879434,92009700
2015-01-27,168.3558349609375,169.50178198222102,167.52543232505212,168.5468240193283,134044600
2015-01-28,166.19679260253906,169.64295867138682,166.00580353315837,169.54331440404724,168514300
2015-01-29,167.73304748535156,167.99047029738128,164.9844038793491,166.39609861915292,173585400
2015-01-30,165.6238555908203,167.88255248867736,165.35813325215972,166.55391545348905,197729700
2015-02-02,167.67489624023438,167.7662410356698,164.30346361569946,166.12204738877088,163107000
2015-02-03,170.09967041015625,170.10798254579447,168.19805397695674,168.57173262346143,124212900
2015-02-04,169.451904296875,170.54804149892738,168.9951804626865,169.3356484728029,134306700
2015-02-05,171.1625518798828,171.3120309123375,170.04151615568486,170.11624933644418,97953200
2015-02-06,170.6892852783203,172.09266793246513,170.1661274988381,171.52798748190747,125672000
2015-02-09,169.92535400390625,170.76405639368718,169.51845201053803,170.04160990616245,87219000
2015-02-10,171.73556518554688,171.99298797245132,169.9668035361293,170.9632968248335,96164200
2015-02-11,171.835205078125,172.2670179808579,170.92176981461634,171.56948283324658,91087800
2015-02-12,173.48777770996094,173.54591199681036,171.86849453909775,172.63246371019875,97545900
2015-02-13,174.2018585205078,174.2516806497601,173.35484431040433,173.61227976310488,93670400
2015-02-17,174.47589111328125,174.6502812348143,173.63718904727858,173.88629969098562,76968200
2015-02-18,174.49249267578125,174.56722586459446,173.8364675625878,174.1022024618402,80652900
2015-02-19,174.36795043945312,174.7333296444128,173.7534605683294,173.8946275028021,91462500
2015-02-20,175.4142608642578,175.4889940619526,173.32994209721713,173.95274408655172,140896400
2015-02-23,175.38934326171875,175.38934326171875,174.78314022494982,175.16513100605164,74411100
2015-02-24,175.88755798339844,176.08685915228472,175.0156327920594,175.31457820992028,72472300
2015-02-25,175.7381134033203,176.24465951665343,175.39764528251933,175.7630244686532,73061700
2015-02-26,175.53048706054688,175.8045214100494,174.92428410364582,175.6467429054022,72697900
2015-02-27,174.93258666992188,175.6965554187468,174.8827645492714,175.4308205473628,108076000
2015-03-02,176.0370635986328,176.0951851956618,174.9824486776999,175.03227080970728,87491400
2015-03-03,175.3145751953125,176.08685612439723,174.4509621535296,175.60522114440676,110325800
2015-03-04,174.5756072998047,174.79152017456255,173.6040373762244,174.71677427971534,114497200
2015-03-05,174.76658630371094,175.04892022670512,174.26004006730764,174.8994411274518,76873000
2015-03-06,172.3085479736328,174.33473244462476,171.9763919856736,173.90291952352678,188128000
2015-03-09,173.02276611328125,173.37983331405962,172.35014172413574,172.5079203183193,89818900
2015-03-10,170.21597290039062,171.7356116386825,170.17445022363998,171.65257895612314,157121300
2015-03-11,169.81735229492188,170.64775499563052,169.73430695647514,170.47336485326827,110145700
2015-03-12,171.97640991210938,172.0428309798738,170.39863712749272,170.44845926378608,93993500
2015-03-13,170.92178344726562,172.66562145538168,169.88378010757538,171.70236398606295,162410900
2015-03-16,173.2053680419922,173.29671283072327,170.94667205785777,171.65251930450134,136099200
2015-03-17,172.69052124023438,173.0724993205332,171.8767176117174,172.46630900209706,94510400
2015-03-18,174.76658630371094,175.4392105729966,171.57782978603782,172.21724351712368,228808500
2015-03-19,173.96934509277344,174.77483663026706,173.57905485621723,174.35133586484864,117917300
2015-03-20,175.50498962402344,176.01379694747334,174.73761038214025,174.921115497319,177715100
2015-03-23,175.16294860839844,176.08881041728557,175.16294860839844,175.5132729783155,71784500
2015-03-24,174.17869567871094,175.49657706313127,174.11196541294967,175.03782716820487,77805300
2015-03-25,171.62631225585938,174.620774093646,171.58461697595038,174.38722452516916,159521700
2015-03-26,171.21763610839844,172.1351487904997,170.25840268427095,170.959064236829,153067200
2015-03-27,171.60968017578125,171.7848360301773,170.90901857569716,171.10087291003566,118939000
2015-03-30,173.70330810546875,174.00358804274632,172.6273124212665,172.6439854479199,96180400
2015-03-31,172.18521118164062,173.57818519187686,172.12683013724472,172.87752356662315,126768700
2015-04-01,171.57632446289062,172.17688433109578,170.5837321049543,172.15186206387898,137303600
2015-04-02,172.19351196289062,172.64392534826143,171.3260312338476,171.50953628316452,86900900
2015-04-06,173.3529510498047,173.87009478388543,171.16758858385168,171.30103640950233,114368200
2015-04-07,172.89422607421875,174.12870464143677,172.86086729240276,173.37801113931133,81236300
2015-04-08,173.47813415527344,173.92021128396732,172.72744050626608,173.11947308869333,89351900
2015-04-09,174.2454376220703,174.47898722119766,172.81911776507818,173.3112392255609,85548900
2015-04-10,175.1962890625,175.23799706759326,174.29546233546563,174.4956403959194,72722900
2015-04-13,174.40394592285156,175.68848163327957,174.3539013910817,175.0545502908604,74436600
2015-04-14,174.73757934570312,174.92108442828817,173.57816781164263,174.20374984931914,75099900
2015-04-15,175.52162170410156,176.0304289088538,175.12125278597637,175.20466881068924,99529300
2015-04-16,175.47158813476562,175.98039537128213,174.98780316172542,175.1879939970349,68934900
2015-04-17,173.45306396484375,174.5207230819322,172.6689990165912,174.27883693263118,191113200
2015-04-20,175.03790283203125,175.37154157756314,174.2955458048458,174.37894912747763,92189500
2015-04-21,174.829345703125,175.88031902757646,174.52906579221028,175.72183619577424,72559800
2015-04-22,175.6884765625,175.87198165869333,174.24545805811607,175.17132005163694,78264600
2015-04-23,176.1305389404297,176.78114323569324,175.17130552125977,175.28808032483272,102585900
2015-04-24,176.5392303466797,176.80615143504272,176.08881691943958,176.5475795853773,61327400
2015-04-27,175.80523681640625,177.23155672256055,175.61338249604708,177.10644540710808,79358100
2015-04-28,176.3640594482422,176.4141039661593,174.60408844567377,175.7801855267141,86863500
2015-04-29,175.63841247558594,176.23895950012295,174.82932538541286,175.47158042307709,125684900
2015-04-30,173.87844848632812,175.45491471931282,173.17778692805777,175.0628822890601,161304900
2015-05-01,175.7635498046875,175.8052578239885,174.56243012282167,174.66251918714363,103399700
2015-05-04,176.2640380859375,176.84791223163398,176.08053296478977,176.1889585527394,70927200
2015-05-05,174.2454376220703,176.38076824301814,174.1036405602786,176.02209460525205,113326200
2015-05-06,173.52810668945312,175.10457288015732,172.4604477204841,174.79595648791593,135060200
2015-05-07,174.22044372558594,174.6458477077219,173.0944035594923,173.42804226185322,88244900
2015-05-08,176.51417541503906,176.71436619425856,175.81352677901435,175.89694278556306,155877300
2015-05-11,175.6718292236328,176.7394885290383,175.59676241172997,176.47258006643835,75708100
2015-05-12,175.1462860107422,175.6884647503153,174.01189673213443,174.83766960948466,119727600
2015-05-13,175.17967224121094,176.1806010470727,174.94612261075986,175.55501895247156,94667900
2015-05-14,177.00634765625,177.09810019223923,175.92200297478595,176.19726058275364,95934000
2015-05-15,177.1981964111328,177.33999347658244,176.7144114497464,177.1981964111328,76510100
2015-05-18,177.74871826171875,177.9989408997625,176.96465338918333,177.03138366849478,74549700
2015-05-19,177.6903533935547,178.14077967028823,177.4067592059826,177.8655219961736,72114600
2015-05-20,177.56524658203125,178.31594009239424,177.24828087754378,177.79044699863908,76857500
2015-05-21,178.0823516845703,178.29087902846325,177.25657882085463,177.4234108779682,64764600
2015-05-22,177.65695190429688,178.11570185670502,177.59022163017426,177.69864718906243,57433500
2015-05-26,175.74681091308594,177.59019789782366,175.32975630117662,177.16479404807828,124308600
2015-05-27,177.41506958007812,177.64861919749248,175.79689528263626,176.20561347686115,93214000
2015-05-28,177.21493530273438,177.32336089853305,176.52262279146913,177.10649697943296,74974600
2015-05-29,176.1138458251953,177.18984127544758,175.84693745426003,177.14814599037848,124919600
2015-06-01,176.47254943847656,177.114804576626,175.6801352475768,176.78116587440553,93338800
2015-06-02,176.29733276367188,176.989644973084,175.38815672971384,176.01373867138176,91531000
2015-06-03,176.76446533203125,177.39004739198074,176.2723438328042,176.8311956123925,87820900
2015-06-04,175.2714080810547,176.71441374466318,174.95444244387514,176.0554729346047,151882800
2015-06-05,174.97116088867188,175.64678757627044,174.31220722798827,175.12129449591535,121704700
2015-06-08,173.8950958251953,175.0128119120472,173.82002904602163,174.86266562620256,89063300
2015-06-09,173.8701171875,174.41229598171893,173.23619856960607,173.8701171875,105034700
2015-06-10,175.9553680419922,176.33906395008052,174.57909268042306,174.63747371768716,134551300
2015-06-11,176.5225830078125,176.90626621878664,176.16390933407592,176.39745895662537,73876400
2015-06-12,175.1713104248047,176.39745226039358,174.89605279564194,175.69680341934261,135382400
2015-06-15,174.42059326171875,174.70418736428965,173.3195628952703,174.02856087919523,124384200
2015-06-16,175.37147521972656,175.45489123829736,174.09528904607768,174.2704448665799,85308200
2015-06-17,175.65512084960938,176.26402996331325,174.62916970319918,175.65512084960938,126708600
2015-06-18,177.4817657470703,177.948864892119,175.68843594500905,176.25562412756898,165867900
2015-06-19,176.69390869140625,177.3141566139647,176.31673625838624,177.23872468524232,130478700
2015-06-22,177.59913635253906,178.1858504674823,177.389594683673,177.61590326708273,70696000
2015-06-23,177.72482299804688,178.06009727917098,177.33089650051096,177.80864476567942,68476800
2015-06-24,176.43408203125,177.83381881952428,176.40893805458825,177.45664638018948,92307300
2015-06-25,175.89768981933594,177.06274119062326,175.82225787479615,176.93702128305694,97107400
2015-06-26,175.86415100097656,176.50115311728848,175.3109578847689,176.25807760134447,104174800
2015-06-29,172.17620849609375,175.87252685245653,172.1007765596968,174.38059109313988,202621300
